Code ,Name_fr 
47, MINISTERE DES FINANCES
0,COUR D'ETAT
1, ASSEMBLEE NATIONALE
2,CONSEIL SUPERIEUR DE LA COMMUNICATION
3,CABINET DU PREMIER MINISTRE
5,PRESIDENCE DE LA REPUBLIQUE DU NIGER
6," MINISTERE DES ENSEIGNEMENTS  SUPERIEUR ,DE LA RECHERCHE ET DE L'INNOVATION"
7,COUR CONSTITUTIONNELLE
8,"MINISTERE DES POSTES, DES TELECOMMUNICATIONS ET DE L'ECOMIE NUMERIQUE"
9,"MINISTERE DE LA JEUNESSE, DES SPORTS"
10,COMMISSION NATIONALE DES DROITS HUMAINS
12,"MINISTERE DES AFFAIRES ETRANGERES, DE LA COOPERATION, DE L'INTEGRATION AFRICAINE ET DES NIGERIENS A L'EXTERIEUR"
15,MINISTERE DE LA DEFENSE NATIONALE
17,"MINISTERE DE LA JUSTICE, GARDE DES SCEAUXET, PORTE PAROLE DU GOUVERNEMENT"
25,"MINISTERE DE L'INTERIEUR, DE LA SECURITE PUBLIQUE, DE LA DECENTRALISATION ET DES AFFAIRES COUTUMIERES ET RELIGIEUSES"
41,MINISTERE DE LA FONCTION PUBLIQUE ET DE LA REFORME ADMINISTRATIVE
51,MINISTERE DU TOURISME ET DE L'ARTISANAT
52,MINISTERE DU COMMERCE ET DE LA PROMOTION DU SECTEUR PRIVE
54,MINISTERE DE L'AGRICULTURE
55,MINISTERE DE L'ELEVAGE
58,MINISTERE DE L'EQUIPEMENT
59,MINISTERE DES MINES ET DU DEVELOPPEMENT INDUSTRIEL
60,MINISTERE DE L'ENVIRONNEMENT  DE LA SALUBRITE URBAINE ET DU DEVELOPPEMENT DURABLE
61,"MINISTERE DE L'ENSEIGNEMENT PRIMAIRE, DE L'ALPHABETISATION, DE LA PROMOTION DES LANGUES NATIONALES ET DE L'EDUCATION CIV"
64,MINISTERE DE LA SANTE PUBLIQUE
65,MINISTERE DE LA PROMOTION DE LA FEMME ET DE LA PROTECTION DE L'ENFANT
11, MINISTERE DES ENSEIGNEMENTS PROFESSIONNELS ET TECHNIQUES
14,"MINISTERE DELEGUE A L'INTEGRATION AFRICAINE,"
53,MINISTERE DES TRANSPORTS
