Code,name_en
101,National Legislature
104,Ministry of Finance
105,Ministry of Internal Affairs
106,Ministry of Planning and Economic Affairs
107,Civil Service Agency
110,General Auditing Commission
113,National Elections Commission
117,Governance Commission
120,Environmental Protection Agency
123,Liberia Anti-Corruption Commission
125,Land Commission
201,Judiciary
202,Ministry of Justice
208,Human Rights Commission
301,Ministry of Education
302,University of Liberia
310,Ministry of Health and Social Welfare
314,Ministry of Youth and Sports
317,Ministry of Gender & Development
318,Monrovia City Corporation
319,LRRRC
321,National Commission on Disabilities
323,Liberia Agency for Community Empowerment
401,Ministry of Agriculture
402,"Ministry of Lands, Mines and Energy"
403,Ministry of Commerce and Industry
407,Forestry Development Authority
409,Ministry of Public Works
413,Liberia Water and Sewer Corporation
414,Liberia Produce Marketing Corporation
416,Liberia Electricity Corporation
418,Liberia Telecommunications Corporation
430,National Ports Authority
309,West African Examination Council
114,LISGIS
118,Public Procurement and Concessions Commission
406,Ministry of Transport
103,Office of the Vice President
434,LMHPRA
431,Liberia Extractive Industries Initiative (LEITI)
112,Liberia Institute for Public Administration
109,"Ministry of Information, Culture & Tourism"
404,Ministry of Post and Telecommunications
326,Zorzor Rural Teacher Training Institute (ZRTTI)
307,National Commission on Higher Education
119,"Center for National Documents, Records and Archives"
408,Ministry of Labour
204,National Security Agency
303,Monrovia Consolidated School System
111,Ministry of Foreign Affairs
102,Ministry of State for Presidential Affairs
410,Liberia Industrial Property System
124,Law Reform Commission
203,Ministry of National Defense
405,Cooperative Development Agency
423,Liberia Rubber Development Authority
207,National Bureau of Investigation
330,Bomi County Community College
411,Liberia Copyright Office
429,Liberia Airport Authority
435,National Aids Commission
115,Bureau of State Enterprises
108,General Services Agency
501,National Claims
205,Special Security Services
436,Jackson F Doe Hospital
312,Phebe Hospital and School of Nursing
425,National Lottery
324,National Housing Authority
121,Liberia Broadcasting System
311,John F. Kennedy Medical Center
206,Ministry of National Security
315,National Food Assistance Agency
305,Forestry Training Institute
316,Agricultural and Industrial Training Bureau
424,Liberia Maritime Authority
116,National Investment Commission
327,Webbo Rural Teacher Training Institute
328,Kakata Rural Teacher Training Institute
308,William V.S. Tubman University
313,Liberian Institute of Biomedical Research
432,National Bureau of Concessions
322,National Veterans Bureau
329,Bassa County Community College
415,National Transit Authority
306,Cuttington University College
419,National Housing and Savings Bank
325,Paynesville City Corporation
333,Nimba Community College
304,Booker Washington Institute
422,National Insurance Corporation of Liberia
126,Mano River Union
334,Lofa Community College
209,National Commission on Small Arms
420,Liberia Industrial Free Zone Authority
438,Rural Renewable Energy Agency
127,National Council of Chief/Elde
140,Liberia Revenue Authority(LRA)
335,Bong Community College
128,Independent Information Commission
130,Ministry of Finance and Dev Pl
136,Financial Intelligence Unit
336,Lib Board for Nurse Midwifer
337,Liberia Pharmacy Board
437,Lib. Telecom. Authority
141,Tax Appeal Board
132,Internal Audit Agency
338,Liberial Medical Dental Coun
339,Lib College of Physicians
340,"Ministry of Gender, Children and Social Protection"
142,National Identification Registry
341,Grand Gedeh Community College
439,National Public Health Institute of Liberia
342,Harbel College
426,Central Agriculture Research Institute
129,Liberia Land Authority
143,National Disaster Management Agency
440,Liberia Intellectual Property Office
441,Rubber Development Fund Incorporated
343,Sinoe Community College
131,Liberia Agriculture Commodity Regulatory Authority
134,National Water Saniation and Hugiene Commission
443,Ministry of Mines & Energy
444,Grand Kru Technical College
