code ,name_en ,,,,,,,,,
029,Voi,,,,,,,,,
030,Dujis,,,,,,,,,
031,Lagdera,,,,,,,,,
032,Fafi,,,,,,,,,
033,Ijara,,,,,,,,,
034,Wajir North,,,,,,,,,
035,Wajir West,,,,,,,,,
036,Wajir East,,,,,,,,,
037,Wajir South,,,,,,,,,
038,Mandera West,,,,,,,,,
039,Mandera Central,,,,,,,,,
040,Mandera East,,,,,,,,,
041,Moyale,,,,,,,,,
042,North Horr,,,,,,,,,
043,Saku,,,,,,,,,
044,Laisamis,,,,,,,,,
045,Isiolo North,,,,,,,,,
046,Isiolo South,,,,,,,,,
047,Igembe,,,,,,,,,
048,Ntonyiri,,,,,,,,,
049,Tigania West,,,,,,,,,
050,TIGANIA EAST,,,,,,,,,
051,North Imenti,,,,,,,,,
052,Central Imenti,,,,,,,,,
053,South Imenti,,,,,,,,,
054,Nithi,,,,,,,,,
055,Tharaka,,,,,,,,,
056,Manyatta,,,,,,,,,
057,Runyenjes,,,,,,,,,
058,Gachoka,,,,,,,,,
059,Siakago,,,,,,,,,
060,Mwingi North,,,,,,,,,
061,Mwingi South,,,,,,,,,
062,Kitui West,,,,,,,,,
063,Kitui Central,,,,,,,,,
064,Mutito,,,,,,,,,
065,Kitui South,,,,,,,,,
066,Masinga,,,,,,,,,
067,Yatta,,,,,,,,,
068,Kangundo,,,,,,,,,
069,Kathiani,,,,,,,,,
070,Machakos Town,,,,,,,,,
071,Mwala,,,,,,,,,
072,Mbooni,,,,,,,,,
073,Kilome,,,,,,,,,
074,Kaiti,,,,,,,,,
075,MAKUENI,,,,,,,,,
076,Kibwezi,,,,,,,,,
077,Kinangop,,,,,,,,,
078,Kipipiri,,,,,,,,,
079,Ol’kalou,,,,,,,,,
080,Ndaragwa,,,,,,,,,
081,Tetu,,,,,,,,,
082,Kieni,,,,,,,,,
083,Mathira,,,,,,,,,
084,Othaya,,,,,,,,,
085,Mukurweini,,,,,,,,,
086,Nyeri Town,,,,,,,,,
087,Mwea,,,,,,,,,
088,Gichugu,,,,,,,,,
089,Ndia,,,,,,,,,
090,Kerugoya Kutus,,,,,,,,,
091,Kangema,,,,,,,,,
092,Mathioya,,,,,,,,,
093,Kiharu,,,,,,,,,
094,Kigumo,,,,,,,,,
095,Maragwa,,,,,,,,,
096,Kandara,,,,,,,,,
097,Gatanga,,,,,,,,,
098,Gatundu South,,,,,,,,,
099,Gatundu North,,,,,,,,,
100,Juja,,,,,,,,,
101,Githunguri,,,,,,,,,
102,Kiambaa,,,,,,,,,
103,Kabete,,,,,,,,,
104,Limuru,,,,,,,,,
105,Lari,,,,,,,,,
106,Turkana North,,,,,,,,,
107,Turkana Central,,,,,,,,,
108,Turkana South,,,,,,,,,
109,Kacheliba,,,,,,,,,
110,Kapenguria,,,,,,,,,
111,Sigor,,,,,,,,,
112,Samburu West,,,,,,,,,
113,Samburu East,,,,,,,,,
114,Kwanza,,,,,,,,,
115,Saboti,,,,,,,,,
116,Cherangany,,,,,,,,,
117,Eldoret North,,,,,,,,,
118,Eldoret East,,,,,,,,,
119,Eldoret South,,,,,,,,,
120,Marakwet East,,,,,,,,,
121,Marakwet West,,,,,,,,,
122,Keiyo North,,,,,,,,,
123,Keiyo South,,,,,,,,,
124,Mosop,,,,,,,,,
125,Aldai,,,,,,,,,
126,Emgwen,,,,,,,,,
127,Tinderet,,,,,,,,,
128,Baringo East,,,,,,,,,
129,Baringo North,,,,,,,,,
130,Baringo Central,,,,,,,,,
131,Mogotio,,,,,,,,,
