Code ,Name_pt 
50A000141,MINISTERIO DA EDUCACAO E DESENVOLVIMENTO HUMANO
50A001641,INSTITUTO DE LINGUAS - IL
50A002241,INSTITUTO NACIONAL DE EDUCACAO A DISTANCIA
50A002341,INSTITUTO DE BOLSAS DE ESTUDO
50A003341,INSTITUTO MEDIO DE CIENCIAS DOCUMENTAIS
50A003741,FUNDO BIBLIOGRAFICO DA LINGUA PORTUGUESA
50A006041,INSTITUTO DE EDUCACAO ABERTA A DISTANCIA
52A000141,"MINISTERIO DA CIENCIA E TECNOLOGIA, ENSINO SUPERIOR E TECNICO- PROFISSIONAL"
52A001041,ACADEMIA DE CIENCIAS DE MOCAMBIQUE
52A001441,CENTRO DE INVESTIGACAO E DESENVOLVIMENTO EM ETNOBOTANICA
52A001541,FUNDO NACIONAL DE INVESTIGACAO
52A001641,INSTITUTO NACIONAL DE TECNOLOGIAS DE INFORMACAO E COMUNICACAO
52A001741,CENTRO DE INVESTIGACAO E TRANSFERENCIA DE TECNOLOGIAS PARA O DESENVOLVIMENTO COMUNITARIO
52A001841,INSTITUTO DE INVESTIGACAO EM AGUAS
52A002241,INSTITUTO SUPERIOR DE CIENCIAS DE SAUDE
52A002341,UNIVERSIDADE EDUARDO MONDLANE
52A002441,UNIVERSIDADE PEDAGOGICA
52A002541,INSTITUTO SUPERIOR DE RELACOES INTERNACIONAIS
52A002641,INSTITUTO SUPERIOR DE CONTABILIDADE E AUDITORIA DE MOCAMBIQUE
52A002741,ESCOLA SUPERIOR DE JORNALISMO
52A002941,CONSELHO NACIONAL DE AVALIACAO DE QUALIDADE DE ENSINO SUPERIOR
52A003841,FACULDADE DE ENGENHARIA
52A003941,ARQUIVO HISTORICO DE MOCAMBIQUE
52A004041,INSTITUTO NACIONAL DO GOVERNO ELECTRONICO
52A004141,CENTRO NACIONAL DE BIOTECNOLOGIA E BIOCIENCIA DE MOCAMBIQUE
54A000141,SECRETARIA DE ESTADO DE DESPORTOS
54A001141,FUNDO DE PROMOCAO DESPORTIVA
54A001241,INSTITUTO NACIONAL DO DESPORTO
58A000141,MINISTERIO DA SAUDE
58A000741,HOSPITAL CENTRAL DE MAPUTO
58A001241,CENTRAL DE MEDICAMENTOS E ARTIGOS MEDICOS
58A003041,INSTITUTO NACIONAL DE SAUDE
60A000141,MINISTERIO DOS COMBATENTES
60A000741,FUNDO DA PAZ E RECONCILIACAO NACIONAL
60A000841,CENTRO DE PESQUISA DA HISTORIA DA LUTA DE LIBERTACAO NACIONAL
62A000141,"MINISTERIO DO GENERO, CRIANCA E ACCAO SOCIAL"
62A000841,INSTITUTO NACIONAL DA ACCAO SOCIAL
65A000141,E.G.E - BENS E SERVICOS -CENTRAL
65A000241,E.G.E - ENCARGOS DA DIVIDA -CENTRAL
65A000441,E.G.E TRANSFERENCIAS AS ADMINISTRACOES PRIVADAS -CENTRAL
65A000541,E.G.E - TRANSFERENCIAS AS FAMILIAS - CENTRAL
65A000641,E.G.E -TRANSFERENCIAS AO EXTERIOR-CENTRAL
65A000741,E.G.E-SUBSIDIOS-CENTRAL
65A000841,E.G.E -OUTRAS DESPESAS CORRENTES - CENTRAL
65A000941,E.G.E - DESPESAS DE CAPITAL - CENTRAL
65A001041,OPERACOES FINANCEIRAS DO ESTADO
