code,name_en
02,COUR ROYALE
03,CHAMBRE DES REPRESENTANTS
43,CHAMBRE DES CONSEILLERS
04,CHEF DU GOUVERNEMENT
40,MINISTÈRE D’ÉTAT CHARGE DES DROITS DE L'HOMME ET DES RELATIONS AVEC LE PARLEMENT
05,JURIDICTIONS FINANCIERES
06,MINISTERE DE LA JUSTICE
07,"MINISTÈRE DES AFFAIRES ÉTRANGÈRES, DE LA COOPÉRATION AFRICAINE ET DES MAROCAINS RÉSIDANT A L'ETRANGER"
08,MINISTERE DE L'INTERIEUR
11,"MINISTERE DE L'EDUCATION NATIONALE, DE LA FORMATION PROFESSIONNELLE, DE L'ENSEIGNEMENT SUPERIEUR ET DE LA RECHERCHE SCIENTIFIQUE"
12,MINISTERE DE LA SANTE
13,"MINISTÈRE DE L'ECONOMIE, DES FINANCES ET DE LA REFORME DE L'ADMINISTRATION"
14,"MINISTÈRE DU TOURISME, DE L'ARTISANAT, DU TRANSPORT AÉRIEN ET DE L'ECONOMIE SOCIALE"
16,SECRETARIAT GENERAL DU GOUVERNEMENT
17,"MINISTERE DE L'EQUIPEMENT, DU TRANSPORT, DE LA LOGISTIQUE ET DE L'EAU"
20,"MINISTERE DE L'AGRICULTURE, DE LA PECHE MARITIME, DU DEVELOPPEMENT RURAL ET DES EAUX ET FORETS"
23,MINISTERE DES HABOUS ET DES AFFAIRES ISLAMIQUES
28,"MINISTÈRE DE L'INDUSTRIE, DU COMMERCE ET DE L'ECONOMIE VERTE ET NUMÉRIQUE"
29,"MINISTÈRE DE LA CULTURE, DE LA JEUNESSE ET DES SPORTS"
31,MINISTERE DU TRAVAIL ET DE L'INSERTION PROFESSIONNELLE
34,ADMINISTRATION DE LA DEFENSE NATIONALE
35,HAUT COMMISSARIAT AUX ANCIENS RESISTANTS ET ANCIENS MEMBRES DE L'ARMEE DE LIBERATION
42,HAUT COMMISSARIAT AU PLAN
46,"MINISTERE DE L'AMENAGEMENT DU TERRITOIRE NATIONAL, DE L'URBANISME, DE L'HABITAT ET DE LA POLITIQUE DE LA VILLE"
48,"MINISTÈRE DE LA SOLIDARITÉ, DU DÉVELOPPEMENT SOCIAL, DE L’ÉGALITÉ ET DE LA FAMILLE"
51,DELEGATION GENERALE A L'ADMINISTRATION PENITENTIAIRE ET A LA REINSERTION
52,"CONSEIL ECONOMIQUE, SOCIAL ET ENVIRONNEMENTAL"
53,CONSEIL SUPERIEUR DU POUVOIR JUDICIAIRE
54,CONSEIL NATIONAL DES DROITS DE L’HOMME
55,"INSTANCE NATIONALE DE LA PROBITÉ, DE LA PRÉVENTION ET DE LA LUTTE CONTRE LA CORRUPTION"
