code,name_fr
1,Presidence de la republique
2,Primature
3,Conseil National de Transition
4,Haute autorite de l'audiovisuel et des media
5,Cour Suprême
7,Ministère de la Prospective Economique et des Partenaires Internationaux
8,Ministère de la Communication
9,"Ministère des Affaires Etrangères, des Tchadiens de l'Etranger, de la Coopération Internationale"
10,"Ministère des finances, du Budget, et des Comptes Publics"
11,"Ministère de la Fonction Publique, de l'Emploi et du Concertation Sociale"
12,Ministère de la Justice et des Droits Humains
13,Ministère de l'Administration du Territoire et de la Décentralisation et de la Bonne Gouvernance
14,"Ministère des Armées, des Anciens Combattants et des Victimes de Guerre"
15,Ministère de l'Éducation Nationale et de la Promotion Civique
16,Ministère de la Santé et de la Prévention
17,"Ministère du Genre, et de la Solidarité Nationale"
18,Ministère de la Production et de la Transformation Agricole
19,Ministère de l'Élevage et des Productions Animales
20,Ministère du Commerce et de l'Industrie
21,Ministère des Mines et de la Géologie
22,Ministère des Infrastructures et du Désenclavement
23,"Ministère de la Jeunesse, des Sports, des Loisirs et du Leadership Entrepreneurial"
24,Ministère du Développement Touristique et de l'Artisanat
25,Ministère des Postes et de l'Économie Numérique
26,"Ministère de l'Environnement, de la Pêche et du Développement Durable"
27,"Ministère de l'Enseignement Supérieur, de la Recherche Scientifique et de l'Innovation"
28,Secréteriat Général du Gouvernement
31,"Ministère de l'Aménagement du Territoire, de l'Habitat et de l'Urbanisme"
32,Ministère de la Sécurité Publique et de l'Immigration
33,Ministère des Hydrocarbures et de l'Énergie
37,"Ministère des Affaires Culturelles, du Patrimoine Historique et du Tourisme"
38,Ministère de l'Hydraulique Urbaine et de l'Assainissement
40,"Conseil Économique, Social et Culturel"
42,Ministère de la Formation Professionnelle des Métiers et de la Microfinance
43,Ministère de l'Aviation Civile et de la Météorologie Nationale
49,Haut Conseil des Collectivités Autonomes et des Chefferies Traditionnelles
50,Commission Nationale des Droits de l'Homme
52,Ministère des Transports et Sécurité Routière
88,Dépeneses Communes
