Country_code,Country_name,Year,Source
MZ,Mozambique ,2020,https://www.cabri-sbo.org/uploads/bia/Mozambique_2020_Approval_External_EnactedBudget_MinEcosFin_SADC_Portguese.pdf
MM,Myanmar ,2017, https://themimu.info/sites/themimu.info/files/assessment_file_attachments/Myanmar_Citizens_Budget_2017-2018_-_GoM_2017.pdf
NR,Nauru,2021,https://naurufinance.info/wp-content/uploads/2021/05/BP-1-Budget-21-22_final.pdf
NP,Nepal ,2021,https://www.mof.gov.np/uploads/document/file/1627455031_Budget_speech_2021.pdf
NI,Nicaragua ,2019,https://drive.google.com/file/d/1gjpDfDPW3XUh5e1sppm5NuuPtQwvvT92/view?usp=sharing
NE,Niger ,2020,https://datacatalog.worldbank.org/search/dataset/0038073
PW,Palau ,2019,https://www.palaugov.pw/wp-content/uploads/2018/10/RPPL-No.-10-29-re.-The-Fiscal-Year-2019-Budget-Act.pdf
PG,Papua New Guinea ,2021,https://www.treasury.gov.pg/html/national_budget/2021%20National%20Budget.html
RW,Rwanda ,2021,https://www.minecofin.gov.rw/fileadmin/user_upload/Minecofin/Publications/REPORTS/National_Budget/Annual_State_Finance_Laws/2021-2022_Original_Finance_Law/Official_Gazette_n___Special_of_30.06.2021_Budget_2021-2022.pdf
SN,Senegal,2020,https://datacatalog.worldbank.org/search/dataset/0038089
SB,Solomon Island,2020,https://datacatalog.worldbank.org/search/dataset/0038075
SO,Somalia ,2020,https://mof.gov.so/sites/default/files/Publications/Budget%20Appropriation%20Act%20for%202020%20Approved_0.pdf
KN,St. Kitts and Nevis ,2021,https://www.mof.gov.kn/wp-content/uploads/2022/01/Volume-I-FOR-WEBSITE-1.pdf
TJ,Tajikistan ,2019,https://drive.google.com/file/d/1MkGyzhhvd5cSg7Zt3fjy_HNUnuIguS25/view?usp=sharing
TZ,Tanzania ,2020,https://mof.go.tz/docs/news/HESABU%202020.pdf
TL,Timor-leste,2018,https://drive.google.com/file/d/1o6wQtOBJF-A5wbY4agtch7QG8A_iKyoh/view?usp=sharing
TG,Togo,2020,https://datacatalog.worldbank.org/search/dataset/0040663
UG,Uganda,2020,https://datacatalog.worldbank.org/search/dataset/0038076
ZM,Zambia ,2018,https://drive.google.com/file/d/1joSpfyEyIk6IWnFxpn5Xhzhr1fuYhQv0/view?usp=sharing
ZW,Zimbabwe,2021,https://www.cabri-sbo.org/uploads/bia/Zimbabwe_2021_Approval_External_EnactedBudget_MinFin_COMESASADC_English.pdf
GH,Ghana ,2022,https://mofep.gov.gh/sites/default/files/budget-statements/2022-MDA-Budget-Ceilings.pdf
JM,Jamaica ,2018,https://drive.google.com/file/d/1v9x2jU0apwlMu4F7PnDMfa1VPSLaTf9i/view?usp=sharing
BD,Bangladesh ,2019,https://drive.google.com/file/d/1DCyqTtBlhNo2Exj27nYeGMo_nP-BLud6/view?usp=sharing
SL,Sierra Leone ,2022,https://mof.gov.sl/wp-content/uploads/2021/12/FY2022-Summary-Budget-Estimates-Report.pdf
HT,Haiti ,2020,https://mef.gouv.ht/docs/budget-2020-2021.pdf
