Code,Name_en 
1,Foreign Affairs
2,President office
3,Home Affairs
4,Defense
5,Border Affairs
6,State Counselor's Office
7,Information
8,Religious Affairs and Culture
9,"Agriculture, Livestock and Irrigation"
10,Transport and Communication
11,Natural Resources and Environmental Conservation
12,Electricity and Energy
13,"Labour, Immigration and Population"
14,Industry
15,Commerce
16,Education
17,Health and Sports
18,Planning and Finance
19,Construction
20,"Social Welfare, Relief and Resettlement"
21,Hotels and Tourism
22,Ethnic Affairs
