Code,Name_en
101,Office of the Presidency
102,Parliament
103,Prime Minister
104,Ministry of Foreign Affairs
105,Ministry of Finance
106,Ministry of Planning and Economic Development
107,Ministry of Interior and Federal Affairs
108,Ministry of Religious Afiiars
109,Ministry of Justice
114,Ministry of Humanitarian and Disaster Mgt
115,Ministry of Constitution
201,Ministry of Defence
202,Ministry of National Security
301,Ministry of Water and Energy
302,Ministry of Mineral
303,Ministry of Agriculture
304,Ministry of Livestock and Forestry
305,Ministry of Fishery and Marine Resource
306,Ministry of Information
307,Ministry of Post and Telecommunication
308,Ministry of Public Work & Reconstruction
309,Ministry of Transport and Aviation
310,Ministry of Transport and Ports
311,Ministry of Industry & Commerce
401,Ministry of Health
402,Ministry of Education
403,Ministry of Labour and Social Affairs
404,Ministry of Youth and Sport
405,Ministry of Women and Human Rights Dev.
