code,name_en
001,Office of the President
002,State House
003,Office of the Prime Minister
004,Ministry of Defence
005,Ministry of Public Service
006,Ministry of Foreign Affairs
007,Ministry of Justice and Constitutional Affairs
008,"Ministry of Finance, Planning and Economic Development"
009,Ministry of Internal Affairs
010,"Ministry of Agriculture, Animal Industry and Fisheries"
011,Ministry of Local Government
012,"Ministry of Lands, Water and Environment"
013,Ministry of Education and Sports
014,Ministry of Health
015,"Ministry of Tourism, Trade and Industry"
016,Ministry of Works and Transport
017,Ministry of Energy and Mineral Development
018,"Ministry of Gender, Labour and Social Development"
019,Ministry of Water and Environment
020,Ministry of Information and Communication technology
021,East African Community
022,Ministry of Tourism and Wildlife
101,Judiciary (Office of Judicature)
108,National Planning Authority
109,Law Development Center
110,Uganda Industrial Research Institute
111,Busitema University
112,Directorate of Ethics and Integrity
113,Uganda National Roads Authority
114,Uganda Cancer Institute
115,Uganda Heart Institute
116,National Medical Stores
117,Uganda Tourism Board
118,Uganda Road Fund
119,Uganda Registration Services Bureau
120,National Citizenship & Immigration Control
121,Diary Development Authority
122,Kampala Capital City Authourity
123,Rural Electrification Agency
124,Equal Opportunities Commission
125,National Animal Genetic Resource Centre and Data Bank
126,National Information Technology Authority
127,Muni University
128,Uganda National Examinations Board
129,Financial Intelligence Authority
130,Treasury Operations
131,Office of the Auditor General
132,Education Service Commission
133,Directorate of Public Prosecution
134,Health Service Commission
135,Mass Mobilisation
136,Makerere University
137,Mbarara University
138,Makerere University Business School
139,Kyambogo University (Formerly ITEK)
140,Uganda Management Institute
141,Uganda Revenue Authority
142,National Agricultural Research Organisation
143,Uganda Bureau of Statistics
144,Uganda Police
145,Uganda Prisons
146,Public Service Commission
147,Local Government Finance Commission
148,Judicial Service Commission
149,Gulu University
150,National Environment Management Authority
151,Uganda blood transfuzion service
152,National agricultural Advisory Service
153,Public Procurement and disposal of Assets authority
154,Uganda national bureau of standards
155,Cotton development organization
156,Uganda land commission
157,National forestry authority
158,Other
159,External Secutiry Organization
160,Uganda Coffee Development Authority
161,Mulago Hospital Complex
162,Butabika Hospital
163,Arua Hospital
164,Kabarole Hospital
165,Gulu Hospital
166,Hoima Hospital
167,Jinja Hospital
168,Kabale Hospital
169,Masaka Hospital
170,Mbale Hospital
171,Soroti Hospital
172,Lira Hospital
173,Mbarara Regional referral Hospital
174,Mubende Regional Referral Hospital
175,Moroto Regional Referral Hospital
176,Naguru Hospital
201,"Uganda Mission at the United Nations, New York"
202,Uganda High Commission in the United Kingdom
203,Uganda High Commission in Canada (Ottawa)
204,Uganda High Commission in India (New Delhi)
205,Uganda High Commission in Egypt (Cairo)
206,Uganda High Commission in Kenya (Nairobi)
207,Uganda High Commission in Tanzania (Dar es Salaam)
208,Uganda High Commission in Nigeria (Abuja)
209,Uganda High Commission in South Africa (Pretoria)
210,Uganda Embassy in the United States (Washington)
211,Uganda Embassy in Ethiopia (Addis Ababa)
212,Uganda Embassy in China (Beijing)
213,Uganda Embassy in Rwanda (Kigali)
214,Uganda Embassy in Switzerland (Geneva)
215,Uganda Embassy in Japan (Tokyo)
216,Uganda Embassy in Libya (Tripoli)
217,Uganda Embassy in Saudi Arabia (Riyadh)
218,Uganda Embassy in Denmark (Copenhagen)
219,Uganda Embassy in Belgium (Brussels)
220,Uganda Embassy in Italy (Rome)
221,Uganda Embassy in DRC (Kinshasa)
223,Uganda Embassy in Sudan (Khartoum)
224,Uganda Embassy in France (Paris)
225,Uganda Embassy in Germany (Berlin)
226,Uganda Embassy in Tehran
227,Uganda Embassy in Moscow
228,Uganda Embassy in Canberra
229,Uganda Embassy in Juba
230,"Uganda Embassy in UAE, Dubai"
231,"Uganda Embassy in Burundi, Bujumbura"
232,"Uganda Consulate in China, Guangzhou"
233,Uganda Embassy in Turkey (Ankara)
234,Uganda Embassy in Somalia (Mogadishu)
235,"Uganda Embassy in Malaysia, Kuala Lumpur"
236,"Uganda Embassy in Kenya, Mombasa"
301,Lira Univesity
302,Uganda National Meteorogical Authority
303,National Curriculum Development Centre
304,Uganda Virus Research Institute
305,Directorate of Government Analytical Laboratory
306,Uganda Export Promotion Board
307,Kabale Univesity
308,Soroti Univesity
501,Adjumani District
502,Apac District
503,Arua District
504,Bugiri District
505,Bundibugyo District
506,Bushenyi District
507,Busia District
508,Gulu District
509,Hoima District
510,Iganga District
511,Jinja District
512,Kabale District
513,Kabarole District
514,Kaberamaido District
515,Kalangala District
516,Kampala district
517,Kamuli District
518,Kamwenge District
519,Kanungu District
520,Kapchorwa District
521,Kasese District
522,Katakwi District
523,Kayunga District
524,Kibale District
525,Kiboga District
526,Kisoro District
527,Kitgum District
