code ,name_en 
1,National Assembly 
2,Ministry of Foreign Affairs 
3,Ministry of Justice 
4,Ministry of Planning and Investment 
4,Ministry of Finance 
5,Ministry of Agriculture and Forestry
6,Ministry of Public Works and Transport
7,Ministry of Energy and Mining 
8,Ministry of Industry and Commerce
9,Ministry of Information and Culture 
10,Ministry of Labour and social Walfare
11,Ministr of Education 
12,Ministry of Public Health
13,Ministry of Home Affairs 
14,Ministry of resource and Environment
15,Ministry of Science and  Technology
16,Ministry of Post and Telecomunication
17,National Institute of Economic Research
18,Lao Statistic Bureau
19,Others 
