code ,name_pt
1,Ministério da Educação
2,Ministério das Finanças
3,Ministério da Justiça
4,Ministério da Saúde
5,Instituto Nacional da Administração Pública
6,Secretaria de Estado dos Recursos Minerais/ Ministério do Petróleo e dos Recursos Minerais
7,Secretaria de Estado da Formação Profissional e Emprego/ Secretaria de Estado da Política de Formação Profissional e Emprego
8,Secretaria de Estado da Juventude e Desporto
9,Polícia Nacional de Timor-Leste
10,Falintil - Forças de Defesa de Timor-Leste
11,Secretaria de Estado da Promoção da Igualdade/ Secretaria de Estado para o Apoio e Promoção Sócio-Económico da Mulher
12,Gabinete do Presidente
13,Gabinete do Primeiro Ministro
14,Procuradoria Geral da República
15,Universidade Nacional Timor Lorosae
16,Instituto Nacional de Formação dos Professores
17,"Ministério das Obras Públicas, Transportes e Comunicações"
18,Ministério da Agricultura e Pescas
19,Ministério dos Negócios Estrangeiros e Cooperação
20,Ministério do Turismo Arte e Cultura
21,"Ministério do Comércio, Indústria e Ambiente"
22,Secretaria de Estado da Segurança/ Ministério do Interior
23,Secretaria de Estado da Defesa/ Ministério da Defesa
24,Secretaria de Estado da Comunicação Social
25,Inspeção Geral do Estado
26,Comissão Anti-Corrupção
27,Presidência do Conselho de Ministros
28,Secretaria de Estado de Arte e Cultura
29,Programa Nacional de Desenvolvimento dos Sucos/ Ministério da Administração Estatal
30,Rádio e Televisão de Timor-Leste
31,Tribunal de Recurso
32,Ministério da Solidariedade Social
33,Comissão Nacional de Aprovisionamento
34,Policia Científica de Investigação Criminal
35,Comissão da Função Pública
36,Provedoria dos Direitos Humanos e Justiça
37,Centro de Formação Profissional de Tibar
38,Secretariado Técnico do FDCH
