code,name_fr
101,Représentation Nationale
102,Sénat
103,Présidence de la République
105,"Conseil Economique, Social, Environnemental et Culturel"
106,Conseil Constitutionnel
107,Grande Chancellerie
108,"Primature et Services Rattachés (Premier Ministre, Chef du Gouvernement, Ministre des Sports et du Cadre de Vie)"
109,Médiateur de la République
110,Commission Electorale Indépendante
111,Chambre Nationale des Rois et Chefs Traditionnels
114,Cour de Cassation
115,Cour des Comptes
116,Parquet Général
117,Parquet Général près la Cour des Comptes
118,Conseil d'Etat
119,Haut Représentant du Président de la République
120,Conseil Supérieur de la Magistrature
226,"Ministère d'Etat, Ministère de la Défense"
229,"Ministère d'Etat, Ministère de l'Agriculture, du Développement Rural et des Productions Vivrières"
237,"Ministère d'Etat, Ministère de la Fonction Publique et de la Modernisation de l'Administration"
321,"Ministère des Affaires Etrangères, de l'Intégration Africaine et des Ivoiriens de l'Extérieur"
322,Ministère des Finances et du Budget
323,Ministère de l'Intérieur et de la Sécurité
325,Ministère de la Justice et des Droits de l'Homme
328,"Ministère de l'Economie, du Plan et du Développement"
330,Ministère de l'Equipement et de l'Entretien Routier
331,Ministère de l'Education Nationale et de l'Alphabétisation
333,Ministère de l'Enseignement Supérieur et de la Recherche Scientifique
334,"Ministère de l'Enseignement Technique, de la Formation Professionnelle et de l'Apprentissage"
335,"Ministère de la Santé, de l'Hygiène Publique et de la Couverture Maladie Universelle"
336,Ministère de la Communication
340,Ministère des Transports
343,"Ministère de l'Environnement, du Développement Durable et de la Transition Ecologique"
345,Ministère des Eaux et Forêts
346,Ministère de la Culture et de la Francophonie
347,Ministère du Commerce et de l'Industrie
348,"Ministère des Mines, du Pétrole et de l'Energie"
350,Ministère du Tourisme et des Loisirs
351,Ministère des Ressources Animales et Halieutiques
352,"Ministère de la Femme, de la Famille et de l'Enfant"
356,Ministère de la Transition Numérique et de la Digitalisation
357,"Ministère de la Promotion de la Jeunesse, de l'Insertion Professionnelle et du Service Civique"
358,"Ministère de la Construction, du Logement et de l'Urbanisme"
362,Ministère de l'Emploi et de la Protection Sociale
366,"Ministère de l'Hydraulique,de l'Assainissement et de la Salubrité"
369,"Ministère de la Cohésion Nationale, de la Solidarité et de la Lutte Contre la Pauvreté"
376,"Ministère du Patrimoine, du Portefeuille de l'Etat et des Entreprises Publiques"
439,"Ministère délégué auprès du Ministre des Affaires Etrangères, de l'Intégration Africaine et des Ivoiriens de l'Extérieur, chargé de l'Intégration Africaine et des Ivoiriens de l'Extérieur"
444,"Ministère délégué auprès du Premier Ministre, Ministre des Sports et du Cadre de Vie, chargé des Sports et du Cadre de Vie"
