code ,name_fr 
04,MINISTERE DE L'ADMINISTRATION DU TERRITOIRE ET DE LA DECENTRALISATION 
06,MINISTERE DE LA JUSTICE 
08,MINISTERE DU PLAN ET DE LA COOPERATION INTERNATIONALE 
09 ,MINISTERE DE L'ECONOMIE ET DES FINANCES 
11,MINISTERE DE L'AGRICULTURE 
12,MINISTERE DE LA PECHE ET DE L'AQUACULTURE 
13,MINISTERE DES MINES ET DE LA GEOLOGIE 
14,MINISTERE DES TRAVAUX PUBLICS
15,MINISTERE DE LA VILLE ET DE L'AMENAGEMENT DU TERRITORIE 
16,MINISTERE DU COMMERCE 
18,MINISTERE DE LA SANTE 
19,"MINISTERE DE L'ACTION SOCIALE, DE LA PROMOTION FEMININE ET DE L'ENFANCE"
20,MINISTERE DE L'ENSEIGNEMENT PRE UNIVERSITAIRE ET DE L'ALPHABETISATION 
21,"MINISTERE DE L'ENSEIGNEMENT TECHNIQUE, DE LA FORMATION PROFESSIONNELLE, DE L'EMPLOI ET DU TRAVAIL "
23,MINISTERE DE LA JEUNESSE ET DE L'EMPLOI JEUNE 
31,"MINISTERE DE L'ENVIRONMENT, DES EAUX ET FORETS"
36,MINISTERE DE L'ENERGIE ET DE L'HYDRAULIQUE 
40,MINISTERE DE L'ELEVAGE ET DES PRODUCTIONS ANIMALES 
41,"MINISTERE DE L'INDUSTRIES, DES PME ET DE LA PROMOTION DU SECTEUR PRIVE "
