org_id,name,name_simple,country_code,country_name,org_type,org_type_code,source_dataset,source_url
AM-COA-101002,National Assembly of RA (Armenia),National Assembly of RA,AM,Armenia,Government,10,2020 Budget,https://datacatalog.worldbank.org/search/dataset/0040229
AM-COA-101003,RA Government Staff (Armenia),RA Government Staff,AM,Armenia,Government,10,2020 Budget,https://datacatalog.worldbank.org/search/dataset/0040229
AM-COA-102001,Constitutional Court of RA (Armenia),Constitutional Court of RA,AM,Armenia,Government,10,2020 Budget,https://datacatalog.worldbank.org/search/dataset/0040229
AM-COA-102002,Judicial Department of RA (Armenia),Judicial Department of RA,AM,Armenia,Government,10,2020 Budget,https://datacatalog.worldbank.org/search/dataset/0040229
AM-COA-103001,Office of Public Prosecutor of RA (Armenia),Office of Public Prosecutor of RA,AM,Armenia,Government,10,2020 Budget,https://datacatalog.worldbank.org/search/dataset/0040229
AM-COA-104001,Ministry of Territorial Administration of RA (Armenia),Ministry of Territorial Administration of RA,AM,Armenia,Government,10,2020 Budget,https://datacatalog.worldbank.org/search/dataset/0040229
AM-COA-104002,Ministry of Healthcare of RA (Armenia),Ministry of Healthcare of RA,AM,Armenia,Government,10,2020 Budget,https://datacatalog.worldbank.org/search/dataset/0040229
AM-COA-104003,Ministry of Justice of RA (Armenia),Ministry of Justice of RA,AM,Armenia,Government,10,2020 Budget,https://datacatalog.worldbank.org/search/dataset/0040229
AM-COA-104004,Ministry of Economy of RA (Armenia),Ministry of Economy of RA,AM,Armenia,Government,10,2020 Budget,https://datacatalog.worldbank.org/search/dataset/0040229
AM-COA-104005,Ministry of Foreign Affairs of RA (Armenia),Ministry of Foreign Affairs of RA,AM,Armenia,Government,10,2020 Budget,https://datacatalog.worldbank.org/search/dataset/0040229
AM-COA-104009,Ministry of Energy and Natural Resources of RA (Armenia),Ministry of Energy and Natural Resources of RA,AM,Armenia,Government,10,2020 Budget,https://datacatalog.worldbank.org/search/dataset/0040229
AM-COA-104010,Ministry of Education and Science of RA (Armenia),Ministry of Education and Science of RA,AM,Armenia,Government,10,2020 Budget,https://datacatalog.worldbank.org/search/dataset/0040229
AM-COA-104011,Ministry of Culture of RA (Armenia),Ministry of Culture of RA,AM,Armenia,Government,10,2020 Budget,https://datacatalog.worldbank.org/search/dataset/0040229
AM-COA-104013,Ministry of Defense of RA (Armenia),Ministry of Defense of RA,AM,Armenia,Government,10,2020 Budget,https://datacatalog.worldbank.org/search/dataset/0040229
AM-COA-104016,Ministry of Labor and Social Affairs of RA (Armenia),Ministry of Labor and Social Affairs of RA,AM,Armenia,Government,10,2020 Budget,https://datacatalog.worldbank.org/search/dataset/0040229
AM-COA-104018,Ministry of Transport and Communication of RA (Armenia),Ministry of Transport and Communication of RA,AM,Armenia,Government,10,2020 Budget,https://datacatalog.worldbank.org/search/dataset/0040229
AM-COA-104020,Ministry of Urban Development of RA (Armenia),Ministry of Urban Development of RA,AM,Armenia,Government,10,2020 Budget,https://datacatalog.worldbank.org/search/dataset/0040229
AM-COA-104022,Ministry of Sport and Youth Affairs of RA (Armenia),Ministry of Sport and Youth Affairs of RA,AM,Armenia,Government,10,2020 Budget,https://datacatalog.worldbank.org/search/dataset/0040229
AM-COA-105002,State Social Insurance Service of the Ministry of Labor and Social Affairs of RA (Armenia),State Social Insurance Service of the Ministry of Labor and Social Affairs of RA,AM,Armenia,Government,10,2020 Budget,https://datacatalog.worldbank.org/search/dataset/0040229
AM-COA-105003,National Statistics Service of RA (Armenia),National Statistics Service of RA,AM,Armenia,Government,10,2020 Budget,https://datacatalog.worldbank.org/search/dataset/0040229
AM-COA-105004,RA Public Services Regulatory Committee (Armenia),RA Public Services Regulatory Committee,AM,Armenia,Government,10,2020 Budget,https://datacatalog.worldbank.org/search/dataset/0040229
