code ,name_en 
1,Office of the President
2,Office of the Vice-President
3,Ministry of Finance
4,Ministry of State
5,Ministry of Community & Cultural Affairs
6,Ministry of Education
7,"Ministry of Public Infrastructure, Industries and Commerce"
8,Ministry of Justice
9,Ministry of Health
10,"Ministry of Natural Resources, Environment & Tourism"
