code,name_en
0111,PRESIDENCY
0112,NATIONAL ASSEMBLY
0116,MINISTRY OF DEFENCE
0119,MINISTRY OF FOREIGN AFFAIRS
0123,FEDERAL MINISTRY OF INFORMATION AND NATIONAL ORIENTATION
0124,MINISTRY OF INTERIOR
0125,OFFICE OF THE HEAD OF THE CIVIL SERVICE OF THE FEDERATION
0140,AUDITOR GENERAL FOR THE FEDERATION
0145,PUBLIC COMPLAINTS COMMISSION
0147,FEDERAL CIVIL SERVICE COMMISSION
0148,INDEPENDENT NATIONAL ELECTORAL COMMISSION
0149,FEDERAL CHARACTER COMMISSION
0155,FEDERAL MINISTRY OF POLICE AFFAIRS
0156,FEDERAL MINISTRY OF COMMUNICATIONS AND DIGITAL ECONOMY
0157,NATIONAL SECURITY ADVISER
0158,CODE OF CONDUCT TRIBUNAL
0159,INFRASTRUCTURE CONCESSION REGULATORY
0160,POLICE SERVICE COMMISSION
0161,SECRETARY TO THE GOVERNMENT OF THE FEDERATION
0164,FEDERAL MINISTRY OF SPECIAL DUTIES & INTER - GOVERNMENTAL AFFAIRS
0215,FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY
0220,FEDERAL MINISTRY OF FINANCE
0222,"FEDERAL MINISTRY OF INDUSTRY, TRADE AND INVESTMENT"
0227,FEDERAL MINISTRY OF LABOUR AND EMPLOYMENT
0228,"FEDERAL MINISTRY OF SCIENCE, TECHNOLOGY AND INNOVATION"
0229,FEDERAL MINISTRY OF TRANSPORT
0230,FEDERAL MINISTRY OF AVIATION AND AEROSPACE
0231,FEDERAL MINISTRY OF POWER
0232,MINISTRY OF PETROLEUM RESOURCES
0233,FEDERAL MINISTRY OF STEEL DEVELOPMENT
0234,FEDERAL MINISTRY OF WORKS
0238,FEDERAL MINISTRY OF BUDGET AND ECONOMIC PLANNING
0242,"NATIONAL SALARIES, INCOMES AND WAGES COMMISSION"
0246,"REVENUE MOBILISATION, ALLOCATION AND FISCAL COMMISSION"
0250,FISCAL RESPONSIBILITY COMMISSION
0252,FEDERAL MINISTRY OF WATER RESOURCES
0253,FEDERAL MINISTRY OF HOUSING AND URBAN DEVELOPMENT
0254,FEDERAL MINISTRY OF MARINE AND BLUE ECONOMY
0255,FEDERAL MINISTRY OF TOURISM
0256,"FEDERAL MINISTRY OF ARTS, CULTURE AND CREATIVE ECONOMY"
0257,FEDERAL MINISTRY OF SOLID MINERALS DEVELOPMENT
0318,JUDICIARY
0326,FEDERAL MINISTRY OF JUSTICE
0341,INDEPENDENT CORRUPT PRACTICES AND RELATED OFFENCES COMMISSION
0344,CODE OF CONDUCT BUREAU
0437,FEDERAL CAPITAL TERRITORY ADMINISTRATION
0451,FEDERAL MINISTRY OF NIGER DELTA
0513,FEDERAL MINISTRY OF SPORTS DEVELOPMENT
0514,FEDERAL MINISTRY OF WOMEN AFFAIRS
0517,FEDERAL MINISTRY OF EDUCATION
0521,FEDERAL MINISTRY OF HEALTH AND SOCIAL WELFARE
0535,FEDERAL MINISTRY OF ENVIRONMENT
0543,NATIONAL POPULATION COMMISSION
0554,FEDERAL MINISTRY OF HUMANITARIAN AFFAIRS AND POVERTY ALLEVIATION
0555,FEDERAL MINISTRY OF YOUTH DEVELOPMENT
