code ,name_fr 
1111,MINISTERE DE LA PLANIFICATION ET DE LA
1112,"MINISTERE DE L'ECONOMIE ET DES FINANCES 8,015,003,579"
1113,"MINIS. DE L'AGRICULTURE, RESSOURCES NATURELLES/DEVELOP/RURAL"
1114,"MINISTERE DES TRAVAUX PUBLICS, TRANSPORTS ET COMMUNICATIONS"
1115,MINISTERE DU COMMERCE ET DE L'INDUSTRIE
1116,MINISTERE DE L'ENVIRONNEMENT
1117,MINISTERE DU TOURISME
1211,MINISTERE DE LA JUSTICE
1212,MINISTERE DES HAITIENS VIVANT A L'ETRANGER
1213,MINISTERE DES AFFAIRES ETRANGERES
1214,LA PRESIDENCE
1215,LA PRIMATURE
1216,MINISTERE DE L'INTERIEUR & DES COLLECTIVITÉS TERRITORIALES
1217,MINISTERE DE LA DEFENSE
1311,MINISTERE DE L'EDUCATION NATIONALE ET DE L A FORM. PROFESS.
1312,MINISTERE DES AFFAIRES SOCIALES
1313,MINISTERE DE LA SANTE PUBLIQUE ET DE LA POPULATION
1314,MINISTERE A LA CONDITION FEMININE
1315,MINISTERE DE LA JEUNESSE DES SPORTS ET DE L ACTION CIVIQUE
1411,MINISTERE DES CULTES
1412,MINISTERE DE LA CULTURE
1413,MINISTERE DE LA COMMUNICATION
1511,INTERVENTIONS PUBLIQUES
1512,DETTE PUBLIQUE
1513,DOTATIONS SPECIALES SUBVENTION AU SECTEUR DE L'ENERGIE
2211,SENAT DE LA REPUBLIQUE
2212,CHAMBRE DES DEPUTES
3211,CONSEIL SUPERIEUR DU POUVOIR JUDICIAIRE
4111,COUR SUPERIEURE DES COMPTES ET DU CONTENTIEUX
4211,CONSEIL ELECTORAL
4212,OFFICE DE PROTECTION DU CITOYEN
4311,UNIVERSITE D'ETAT D'HAITI
4411,ACADEMIE DU CREOLE HAITIEN
