Code ,Name_fr 
10,Dette Publique
21,Présidence de la République
22,Assemblée Nationale
23,Commission Electorale Nationale Autonome
24,"Conseil Economique, Social et Environnemental"
25,Conseil Constitutionnel
27,Cour  Suprême
28,Cour des Comptes
29,Haut Conseil des Collectivités Territoriales
30,Primature
31,Ministère des Affaires Etrangeres et des Senegalais de l'Exterieur
32,Ministère des Forces Armées
33,Ministère de l'Intérieur
34,Ministère de la Justice
35,"Ministère de la Fonction Publique, de la Rationalisation des effectifs et du renouveau du service public"
36,"Min Emploi, Insertion Professionnelle et Intensification de la Main d'Oeuvre"
37,"Ministère du Travail, du dialogue social, des organisations professionnelles et des relations avec les institutions"
38,"Min Intégration Africaine, NEPAD et Francophonie"
39,Ministère des Sénégalais de l'Extérieur
40,Ministère de la Pêche et de l'Economie Maritime
41,Min. Infras. Transp. Terrestres et du Désencl.
42,Ministère de l'Agriculture et de l'Equipement Rural
43,"Ministère de l'Economie, des Finances et du plan"
44,Ministère du Pétrole et des Energies
45,"Min Commerce, Consommation, Secteur Informel et PME"
46,"Ministère du Renouveau Urbain, de l'Habitat et du Cadre de Vie"
47,Min Industrie et Petite et Moyenne Industrie
49,Min. Tourisme
50,Ministère de l'Education Nationale
51,Ministère des Sports
53,Ministère de la Culture
54,Ministère de la Santé et de l'Action Sociale
55,"Min Jeunesse, Construction Citoyenne et Promotion du Volontariat"
56,Ministère de l'Environnement et du développement durable
57,Ministère de l'Action Sociale et de la Solidarité Nationale
58,"Ministère de la Femme, Famille et du Genre"
59,"Ministere de la formation professionnelle, de l'apprentissage et de l'artisanat"
60,Charges non Réparties
62,Ministère de l'Elevage et des Productions Animales
63,"Min Communication, Télécommunications, Postes et Economie Numérique"
64,Min Economie Solidaire et Micro Finance
65,"Min Gouvernance Territoriale, Développement et Aménagement Territoire"
66,"Min. des Transports Terrestres, des Trans. Ferroviaires et de l'Amén. du territoire"
67,Ministère des Energies Renouvelables
68,Ministère de l'Hydraulique et de l'Assainissement
69,Ministère  de l'Hygiène publique et du Cadre de Vie
72,"Ministère des Ecovillages, des Bassins de Retention, des Lacs Artificiels et de la Pisciculture"
75,"Min Enseignement Supérieur, Recherche et Innovation"
76,Ministère des Technologies de l'Information et de la Communication
,Dépenses non reparties
77,Ministère de Petite Enfance et de l'Enfance
78,Ministère Chargé des Elections
81,Ministère de la Restructuration et de l'Aménagement des zones d'inondation
61,Ministère du Plan
80,Min Bonne Gouvernance et Protection de l'Enfance
82,"Ministère de la Promotion des investissements, des partenariats et du développement des Téléservices de l'Etat"
26,Office national de Lutte contre la Fraude et la Corruption
73,Min Transports Aériens et Développement des Infrastructures Aéroportuaires
83,Ministère des Mines et de la Géologie
